iter	RMSE
0	9.721450358
1	9.366835474
2	9.026421689
3	8.695139313
4	8.376870915
5	8.076321998
6	7.782415546
7	7.500166506
8	7.235036441
9	6.980092422
10	6.732433886
11	6.498463638
12	6.272552611
13	6.055416345
14	5.847735592
15	5.647473964
16	5.456995332
17	5.276826907
18	5.103861697
19	4.936064784
20	4.779362534
21	4.622415745
22	4.477710044
23	4.339281828
24	4.206083185
25	4.082003457
26	3.961444588
27	3.843625936
28	3.733653319
29	3.627209251
30	3.526035246
31	3.430196316
32	3.33473019
33	3.243137497
34	3.163707833
35	3.081190357
36	3.001494038
37	2.926768705
38	2.858365742
39	2.795364592
40	2.731265897
41	2.672096688
42	2.612458733
43	2.556729574
44	2.501236293
45	2.453111575
46	2.404789412
47	2.359403382
48	2.315519429
49	2.275933295
50	2.2376699
51	2.20358406
52	2.171315304
53	2.139019683
54	2.106441243
55	2.0778709
56	2.053667221
57	2.02561086
58	1.997355957
59	1.975874035
60	1.95282102
61	1.930820143
62	1.913575347
63	1.895383955
64	1.88160172
65	1.862671172
66	1.849054401
67	1.832398194
68	1.816596159
69	1.801851358
70	1.788188163
71	1.776289902
72	1.765977925
73	1.755530968
74	1.745780288
75	1.736574526
76	1.728029057
77	1.719150414
78	1.710612686
79	1.70358502
80	1.696677707
81	1.689740599
82	1.683335037
83	1.676872209
84	1.671804414
85	1.666430267
86	1.660564414
87	1.655469043
88	1.651257526
89	1.644412861
90	1.638549789
91	1.632619132
92	1.629316381
93	1.624887316
94	1.62002513
95	1.614175622
96	1.609564067
97	1.60538003
98	1.600612353
99	1.597829219
100	1.594697352
101	1.5896503
102	1.587419319
103	1.583925371
104	1.58211108
105	1.579229585
106	1.576775502
107	1.572341701
108	1.568107631
109	1.565303872
110	1.561823215
111	1.55688853
112	1.553937519
113	1.551658374
114	1.549953421
115	1.545626276
116	1.542833532
117	1.541674673
118	1.539186317
119	1.535421842
120	1.532847283
121	1.530123047
122	1.527758942
123	1.525668431
124	1.522819984
125	1.521153431
126	1.518164412
127	1.517735854
128	1.515813014
129	1.513082922
130	1.510964623
131	1.510082945
132	1.508902135
133	1.506200549
134	1.505012024
135	1.501939284
136	1.49957628
137	1.497911788
138	1.495740226
139	1.493999674
140	1.493261557
141	1.491229647
142	1.489886469
143	1.488918731
144	1.487928083
145	1.486112346
