iter	Passed	Remaining
0	5	5245
1	9	4968
2	15	5130
3	20	5059
4	25	4986
5	30	5033
6	35	4998
7	39	4957
8	45	4970
9	50	4958
10	54	4927
11	59	4896
12	64	4860
13	68	4843
14	74	4865
15	79	4864
16	84	4875
17	89	4870
18	94	4874
19	99	4855
20	103	4846
21	109	4848
22	114	4851
23	119	4842
24	123	4824
25	129	4851
26	134	4838
27	139	4827
28	143	4813
29	148	4797
30	153	4806
31	158	4792
32	163	4777
33	168	4778
34	172	4768
35	177	4763
36	183	4772
37	188	4765
38	193	4763
39	198	4757
40	203	4754
41	208	4746
42	213	4761
43	218	4754
44	223	4742
45	228	4730
46	233	4731
47	238	4724
48	242	4714
49	247	4705
50	253	4709
51	257	4701
52	263	4700
53	267	4694
54	272	4675
55	276	4661
56	280	4643
57	284	4616
58	288	4599
59	292	4585
60	296	4568
61	300	4553
62	305	4537
63	308	4518
64	312	4501
65	317	4494
66	321	4479
67	325	4462
68	329	4446
69	334	4438
70	338	4426
71	342	4411
72	346	4403
73	351	4392
74	355	4380
75	359	4369
76	363	4356
77	367	4344
78	371	4332
79	375	4321
80	379	4308
81	383	4297
82	387	4285
83	391	4272
84	395	4261
85	400	4256
86	404	4248
87	409	4242
88	413	4231
89	417	4223
90	421	4213
91	426	4207
92	430	4196
93	434	4190
94	438	4174
95	442	4170
96	447	4162
97	451	4153
98	455	4143
99	459	4134
100	463	4128
101	468	4120
102	472	4112
103	476	4108
104	484	4130
105	489	4126
106	493	4119
107	496	4104
108	501	4102
109	504	4080
110	508	4075
111	513	4068
112	517	4060
113	521	4051
114	526	4048
115	530	4040
116	534	4032
117	536	4009
118	540	4004
119	543	3986
120	547	3980
121	550	3962
122	554	3954
123	558	3945
124	562	3936
125	564	3917
126	568	3910
127	572	3903
128	575	3886
129	577	3865
130	580	3852
131	584	3845
132	589	3840
133	593	3837
134	595	3818
135	598	3802
136	602	3792
137	606	3789
138	608	3771
139	613	3766
140	616	3756
141	620	3746
142	624	3742
143	628	3733
144	630	3718
145	634	3712
146	638	3707
147	642	3701
148	647	3696
149	651	3690
150	653	3673
151	656	3663
152	659	3649
153	663	3644
154	668	3642
155	671	3633
156	675	3628
157	678	3615
158	681	3606
159	684	3591
160	688	3586
161	693	3584
162	697	3579
163	701	3574
164	705	3569
165	709	3567
166	714	3562
167	716	3545
168	717	3529
169	719	3513
170	721	3498
171	725	3492
172	728	3484
173	730	3470
174	735	3468
175	739	3463
176	743	3457
177	748	3455
178	752	3451
179	756	3445
180	758	3432
181	762	3424
182	764	3415
183	767	3404
184	771	3400
185	774	3390
186	778	3386
187	781	3373
188	784	3366
189	787	3358
190	790	3348
191	795	3345
192	799	3341
193	803	3337
194	807	3332
195	811	3329
196	816	3326
197	818	3317
198	823	3314
199	827	3311
200	832	3307
201	836	3303
202	840	3301
203	843	3291
204	846	3280
205	850	3276
206	854	3273
207	857	3265
208	859	3252
209	863	3248
210	867	3244
211	871	3239
212	875	3234
213	879	3230
214	883	3226
215	885	3214
216	887	3203
217	891	3198
218	896	3196
219	899	3190
220	903	3186
221	907	3181
222	911	3175
223	913	3164
224	917	3160
225	919	3149
226	924	3147
227	926	3136
228	930	3132
229	934	3129
230	938	3122
231	945	3130
232	951	3131
233	953	3120
234	957	3117
235	961	3112
236	965	3107
237	968	3099
238	972	3095
239	976	3091
240	980	3088
241	984	3084
242	988	3080
243	990	3070
244	995	3068
245	999	3064
246	1002	3055
247	1004	3045
248	1008	3042
249	1013	3039
250	1017	3035
251	1021	3030
252	1025	3028
253	1028	3020
254	1032	3017
255	1035	3009
256	1040	3006
257	1044	3004
258	1048	3000
259	1052	2996
260	1057	2993
261	1061	2990
262	1065	2984
263	1069	2980
264	1073	2978
265	1078	2975
266	1082	2972
267	1087	2970
268	1089	2960
269	1093	2956
270	1097	2953
271	1102	2950
272	1107	2948
273	1111	2945
274	1115	2941
275	1120	2938
276	1124	2936
277	1129	2932
278	1133	2929
279	1137	2926
280	1142	2922
281	1144	2915
282	1149	2911
283	1152	2906
284	1157	2903
285	1161	2900
286	1165	2896
287	1169	2892
288	1174	2889
289	1176	2880
290	1178	2871
291	1181	2864
292	1185	2859
293	1189	2856
294	1193	2853
295	1197	2847
296	1201	2843
297	1205	2840
298	1210	2837
299	1212	2829
300	1216	2825
301	1220	2821
302	1225	2819
303	1229	2815
304	1233	2809
305	1237	2806
306	1239	2798
307	1242	2791
308	1246	2787
309	1250	2783
310	1254	2780
311	1259	2776
312	1263	2772
313	1267	2768
314	1271	2765
315	1275	2761
316	1279	2757
317	1283	2753
318	1286	2746
319	1290	2742
320	1293	2735
321	1295	2727
322	1299	2723
323	1304	2720
324	1308	2717
325	1311	2711
326	1315	2707
327	1319	2703
328	1322	2697
329	1325	2690
330	1329	2686
331	1333	2683
332	1338	2680
333	1342	2677
334	1347	2674
335	1351	2671
336	1356	2669
337	1361	2665
338	1365	2662
339	1369	2659
340	1374	2655
341	1378	2652
342	1382	2648
343	1387	2646
344	1389	2638
345	1394	2635
346	1398	2632
347	1401	2625
348	1405	2621
349	1409	2618
350	1412	2611
351	1416	2607
352	1421	2605
353	1425	2601
354	1429	2598
355	1434	2595
356	1437	2588
357	1439	2581
358	1441	2574
359	1446	2570
360	1450	2567
361	1455	2564
362	1459	2561
363	1463	2557
364	1467	2553
365	1472	2551
366	1475	2544
367	1477	2537
368	1480	2531
369	1484	2527
370	1486	2520
371	1491	2517
372	1495	2514
373	1499	2510
374	1504	2507
375	1509	2504
376	1511	2497
377	1513	2491
378	1518	2488
379	1523	2485
380	1527	2481
381	1531	2478
382	1536	2475
383	1540	2471
384	1545	2468
385	1549	2464
386	1553	2461
387	1558	2457
388	1562	2453
389	1566	2449
390	1568	2443
391	1572	2438
392	1576	2434
393	1578	2427
394	1582	2423
395	1586	2420
396	1590	2416
397	1595	2412
398	1599	2408
399	1601	2402
400	1606	2399
401	1610	2395
402	1614	2391
403	1618	2387
404	1622	2383
405	1627	2380
406	1631	2377
407	1635	2373
408	1640	2370
409	1642	2363
410	1644	2357
411	1648	2353
412	1653	2349
413	1657	2345
414	1659	2338
415	1663	2334
416	1667	2330
417	1671	2327
418	1675	2323
419	1678	2318
420	1682	2314
421	1687	2311
422	1691	2307
423	1695	2303
424	1699	2299
425	1704	2296
426	1708	2293
427	1712	2289
428	1717	2286
429	1720	2281
430	1723	2274
431	1727	2271
432	1731	2267
433	1734	2262
434	1739	2258
435	1743	2255
436	1747	2251
437	1751	2247
438	1755	2243
439	1760	2240
440	1761	2233
441	1765	2229
442	1769	2225
443	1774	2222
444	1776	2215
445	1778	2209
446	1783	2206
447	1786	2200
448	1790	2196
449	1792	2190
450	1796	2187
451	1800	2182
452	1804	2178
453	1807	2174
454	1811	2170
455	1816	2167
456	1820	2163
457	1822	2157
458	1827	2153
459	1831	2149
460	1835	2146
461	1840	2142
462	1844	2138
463	1848	2134
464	1852	2131
465	1856	2127
466	1860	2123
467	1865	2120
468	1869	2116
469	1873	2112
470	1877	2109
471	1883	2106
472	1887	2102
473	1889	2096
474	1892	2091
475	1895	2086
476	1900	2083
477	1902	2077
478	1906	2073
479	1910	2070
480	1913	2064
481	1917	2060
482	1919	2054
483	1923	2051
484	1928	2047
485	1931	2043
486	1935	2038
487	1939	2035
488	1944	2032
489	1953	2032
490	1956	2027
491	1960	2024
492	1963	2019
493	1967	2015
494	1969	2009
495	1971	2003
496	1975	1999
497	1980	1996
498	1982	1990
499	1986	1986
500	1990	1982
501	1993	1977
502	1997	1973
503	1999	1968
504	2004	1964
505	2006	1958
506	2010	1954
507	2012	1948
508	2014	1942
509	2018	1939
510	2020	1933
511	2024	1929
512	2027	1924
513	2031	1920
514	2033	1914
515	2037	1911
516	2041	1907
517	2045	1903
518	2050	1899
519	2053	1895
520	2057	1891
521	2059	1885
522	2063	1882
523	2068	1878
524	2072	1874
525	2076	1871
526	2080	1867
527	2084	1863
528	2086	1858
529	2091	1854
530	2094	1850
531	2096	1844
532	2101	1841
533	2105	1837
534	2110	1833
535	2114	1830
536	2117	1826
537	2120	1820
538	2123	1816
539	2127	1812
540	2132	1809
541	2135	1804
542	2139	1800
543	2143	1797
544	2146	1791
545	2151	1788
546	2155	1785
547	2160	1781
548	2164	1778
549	2168	1774
550	2171	1769
551	2175	1765
552	2179	1761
553	2183	1758
554	2188	1754
555	2192	1750
556	2194	1745
557	2199	1742
558	2203	1738
559	2206	1733
560	2210	1729
561	2213	1725
562	2217	1721
563	2220	1716
564	2224	1712
565	2229	1709
566	2231	1703
567	2235	1700
568	2239	1696
569	2242	1691
570	2245	1687
571	2248	1682
572	2250	1677
573	2255	1673
574	2258	1669
575	2262	1665
576	2267	1662
577	2271	1658
578	2275	1654
579	2280	1651
580	2284	1647
581	2286	1642
582	2291	1638
583	2295	1634
584	2300	1631
585	2304	1628
586	2309	1624
587	2313	1621
588	2318	1617
589	2320	1612
590	2322	1607
591	2326	1603
592	2331	1600
593	2336	1596
594	2340	1593
595	2345	1589
596	2349	1585
597	2353	1582
598	2357	1578
599	2360	1573
600	2365	1570
601	2369	1566
602	2373	1562
603	2378	1559
604	2380	1554
605	2384	1550
606	2386	1545
607	2390	1541
608	2392	1536
609	2396	1532
610	2398	1527
611	2401	1522
612	2405	1518
613	2409	1515
614	2412	1510
615	2414	1504
616	2418	1501
617	2422	1497
618	2427	1494
619	2431	1490
620	2435	1486
621	2437	1481
622	2441	1477
623	2444	1473
624	2448	1469
625	2451	1464
626	2453	1459
627	2457	1455
628	2459	1450
629	2464	1447
630	2469	1443
631	2476	1442
632	2478	1437
633	2482	1432
634	2485	1428
635	2489	1424
636	2494	1421
637	2496	1416
638	2501	1412
639	2505	1409
640	2507	1404
641	2509	1399
642	2511	1394
643	2515	1390
644	2518	1386
645	2522	1382
646	2525	1377
647	2529	1374
648	2531	1369
649	2536	1365
650	2540	1361
651	2542	1356
652	2546	1352
653	2548	1348
654	2552	1344
655	2554	1339
656	2557	1335
657	2562	1331
658	2564	1327
659	2566	1322
660	2568	1317
661	2570	1312
662	2572	1307
663	2574	1302
664	2578	1299
665	2583	1295
666	2587	1291
667	2589	1286
668	2593	1283
669	2596	1278
670	2600	1275
671	2602	1270
672	2604	1265
673	2609	1261
674	2610	1257
675	2615	1253
676	2619	1249
677	2623	1245
678	2626	1241
679	2630	1237
680	2634	1234
681	2638	1230
682	2643	1226
683	2644	1221
684	2647	1217
685	2649	1212
686	2651	1207
687	2653	1203
688	2657	1199
689	2658	1194
690	2662	1190
691	2665	1186
692	2669	1182
693	2673	1178
694	2675	1174
695	2677	1169
696	2682	1166
697	2687	1162
698	2689	1158
699	2692	1153
700	2696	1149
701	2698	1145
702	2700	1140
703	2704	1137
704	2706	1132
705	2711	1129
706	2714	1124
707	2716	1120
708	2720	1116
709	2724	1112
710	2726	1108
711	2728	1103
712	2730	1099
713	2732	1094
714	2734	1089
715	2736	1085
716	2739	1081
717	2743	1077
718	2747	1073
719	2750	1069
720	2754	1066
721	2756	1061
722	2758	1057
723	2761	1052
724	2766	1049
725	2769	1045
726	2771	1040
727	2773	1036
728	2775	1031
729	2777	1027
730	2781	1023
731	2786	1020
732	2787	1015
733	2790	1011
734	2795	1007
735	2797	1003
736	2799	998
737	2803	995
738	2805	990
739	2810	987
740	2812	982
741	2816	979
742	2819	975
743	2824	971
744	2828	968
745	2830	963
746	2832	959
747	2835	955
748	2839	951
749	2842	947
750	2846	943
751	2851	940
752	2855	936
753	2859	932
754	2863	929
755	2867	925
756	2869	921
757	2873	917
758	2876	913
759	2880	909
760	2882	905
761	2886	901
762	2890	897
763	2895	894
764	2899	890
765	2901	886
766	2905	882
767	2907	878
768	2909	874
769	2911	869
770	2914	865
771	2918	861
772	2922	858
773	2926	854
774	2929	850
775	2933	846
776	2937	843
777	2940	838
778	2942	834
779	2947	831
780	2953	828
781	2956	824
782	2961	820
783	2965	817
784	2967	812
785	2971	809
786	2975	805
787	2980	801
788	2984	798
789	2986	793
790	2990	790
791	2995	786
792	2999	782
793	3003	779
794	3007	775
795	3011	771
796	3015	767
797	3017	763
798	3019	759
799	3024	756
800	3028	752
801	3032	748
802	3037	745
803	3041	741
804	3045	737
805	3048	733
806	3050	729
807	3052	725
808	3056	721
809	3059	717
810	3063	713
811	3067	710
812	3072	706
813	3076	702
814	3080	699
815	3082	695
816	3086	691
817	3091	687
818	3095	684
819	3099	680
820	3102	676
821	3107	672
822	3111	669
823	3115	665
824	3119	661
825	3123	657
826	3127	654
827	3131	650
828	3135	646
829	3139	643
830	3144	639
831	3148	635
832	3152	631
833	3154	627
834	3157	623
835	3161	620
836	3165	616
837	3169	612
838	3172	608
839	3175	604
840	3179	601
841	3183	597
842	3185	593
843	3188	589
844	3191	585
845	3193	581
846	3198	577
847	3200	573
848	3205	570
849	3207	566
850	3211	562
851	3213	558
852	3218	554
853	3222	550
854	3226	547
855	3228	543
856	3233	539
857	3237	535
858	3241	532
859	3243	528
860	3247	524
861	3252	520
862	3256	516
863	3260	513
864	3264	509
865	3267	505
866	3271	501
867	3272	497
868	3277	494
869	3282	490
870	3284	486
871	3286	482
872	3290	478
873	3293	474
874	3297	471
875	3299	467
876	3301	463
877	3305	459
878	3309	455
879	3313	451
880	3317	448
881	3322	444
882	3326	440
883	3328	436
884	3332	433
